Gene,logFC,pvalue,literature_mentions,document_occurrences,cooccurrence_score,Entrez Gene Name,Location,Type(s),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
SPRR2C,7.549,1.25e-155,0,0,0,small proline rich protein 2C (pseudogene),Cytoplasm,other,,,,,,,,,,,,,,
GPR15LG,6.191,4.79e-113,0,0,0,G protein-coupled receptor 15 ligand,Extracellular Space,cytokine,,,,,,,,,,,,,,
PLBD1,2.891,1.45e-96,0,0,0,phospholipase B domain containing 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
HPSE,4.604,1.18e-85,0,0,0,heparanase,Plasma Membrane,enzyme,,,,,,,,,,,,,,
FCHSD1,4.041,4.78e-77,0,0,0,FCH and double SH3 domains 1,Plasma Membrane,other,,,,,,,,,,,,,,
ADAP2,2.715,8.159999999999999e-74,0,0,0,ArfGAP with dual PH domains 2,Cytoplasm,other,,,,,,,,,,,,,,
GDA,4.804,1.1800000000000001e-73,0,0,0,guanine deaminase,Cytoplasm,enzyme,,,,,,,,,,,,,,
IGFL1,6.332,2.72e-72,0,0,0,IGF like family member 1,Extracellular Space,other,,,,,,,,,,,,,,
KYNU,4.796,1.11e-68,0,0,0,kynureninase,Cytoplasm,enzyme,,,,,,,,,,,,,,
RGS20,3.436,2.66e-68,0,0,0,regulator of G protein signaling 20,Cytoplasm,enzyme,,,,,,,,,,,,,,
GDPD3,3.227,1.75e-66,0,0,0,glycerophosphodiester phosphodiesterase domain containing 3,Cytoplasm,enzyme,,,,,,,,,,,,,,
KLK8,3.42,1e-59,0,0,0,kallikrein related peptidase 8,Extracellular Space,peptidase,,,,,,,,,,,,,,
CDK5R1,2.713,1.61e-58,0,0,0,cyclin dependent kinase 5 regulatory subunit 1,Nucleus,kinase,,,,,,,,,,,,,,
PRSS27,4.617,1.3e-57,0,0,0,serine protease 27,Cytoplasm,peptidase,,,,,,,,,,,,,,
FBXO45,2.978,4.28e-57,0,0,0,F-box protein 45,Plasma Membrane,other,,,,,,,,,,,,,,
GGH,2.525,5.75e-57,0,0,0,gamma-glutamyl hydrolase,Cytoplasm,peptidase,,,,,,,,,,,,,,
AKR1B10,4.823,7.44e-57,0,0,0,aldo-keto reductase family 1 member B10,Cytoplasm,enzyme,,,,,,,,,,,,,,
CD47,2.228,2.86e-56,0,0,0,CD47 molecule,Plasma Membrane,other,,,,,,,,,,,,,,
TMPRSS11D,5.275,3.34e-56,0,0,0,transmembrane serine protease 11D,Extracellular Space,peptidase,,,,,,,,,,,,,,
BMAL2,3.294,7.59e-56,0,0,0,basic helix-loop-helix ARNT like 2,Nucleus,transcription regulator,,,,,,,,,,,,,,
