doc_id,pmid,year,combined_char_len,combined_word_len
DOC_0001,41647765,2025,1236,156
DOC_0002,41647271,2025,1280,168
DOC_0003,41640533,2025,1518,214
DOC_0004,41625772,2025,1913,256
DOC_0005,41624863,2025,1876,260
DOC_0006,41624850,2025,3078,338
DOC_0007,41614129,2025,1614,218
DOC_0008,41613117,2025,1569,196
DOC_0009,41613106,2025,1905,238
DOC_0010,41608920,2025,2016,257
DOC_0011,41608917,2025,2184,284
DOC_0012,41607605,2025,1343,178
DOC_0013,41607577,2025,1896,252
DOC_0014,41604960,2025,2310,298
DOC_0015,41602587,2025,2202,293
DOC_0016,41601814,2025,2383,345
DOC_0017,41601722,2025,1881,273
DOC_0018,41601492,2025,1923,251
DOC_0019,41599117,2025,1824,230
DOC_0020,41598158,2025,1954,252
DOC_0021,41597583,2025,1936,263
DOC_0022,41596068,2025,2494,297
DOC_0023,41595601,2025,1386,167
DOC_0024,41594593,2025,1326,161
DOC_0025,41590498,2025,2077,256
DOC_0026,41584425,2025,879,121
DOC_0027,41583573,2025,2703,373
DOC_0028,41583484,2025,1388,164
DOC_0029,41578773,2025,1907,285
DOC_0030,41573728,2025,2551,328
DOC_0031,41573656,2025,1455,213
DOC_0032,41573607,2025,2205,304
DOC_0033,41573434,2025,589,90
DOC_0034,41567644,2025,1891,284
DOC_0035,41562814,2025,1463,174
DOC_0036,41561232,2025,2873,452
DOC_0037,41560729,2025,1684,225
DOC_0038,41556018,2025,1611,215
DOC_0039,41542169,2025,228,28
DOC_0040,41541988,2025,2183,296
DOC_0041,41531583,2025,768,110
DOC_0042,41523775,2025,1346,167
DOC_0043,41523505,2025,746,99
DOC_0044,41523413,2025,1869,249
DOC_0045,41517378,2025,721,96
DOC_0046,41517336,2025,237,39
DOC_0047,41517334,2025,253,42
DOC_0048,41516201,2025,1408,182
DOC_0049,41509947,2025,1931,251
DOC_0050,41508855,2025,1530,215
DOC_0051,41504035,2025,1393,177
DOC_0052,41499625,2025,1765,231
DOC_0053,41497686,2025,1668,204
DOC_0054,41494365,2025,1834,260
DOC_0055,41492593,2025,2218,305
DOC_0056,41488932,2025,2028,248
DOC_0057,41488549,2025,1868,246
DOC_0058,41488061,2025,1577,197
DOC_0059,41487796,2025,2055,261
DOC_0060,41487658,2025,1125,151
DOC_0061,41487567,2025,2272,297
DOC_0062,41483505,2025,1433,196
DOC_0063,41483504,2025,1742,255
DOC_0064,41483501,2025,1791,228
DOC_0065,41482262,2025,1680,242
DOC_0066,41482192,2025,1480,191
DOC_0067,41480890,2025,649,85
DOC_0068,41480426,2025,2078,285
DOC_0069,41480184,2025,2147,314
DOC_0070,41480060,2025,1491,214
DOC_0071,41479908,2025,2740,354
DOC_0072,41479810,2025,691,90
DOC_0073,41479506,2025,1096,157
DOC_0074,41478660,2025,1828,256
DOC_0075,41477326,2025,1270,160
DOC_0076,41477321,2025,1770,221
DOC_0077,41477277,2025,2169,278
DOC_0078,41477217,2025,2145,289
DOC_0079,41476763,2025,300,37
DOC_0080,41475863,2025,1211,164
DOC_0081,41474658,2025,1767,233
DOC_0082,41473792,2025,1494,194
DOC_0083,41473417,2025,1974,262
DOC_0084,41472738,2025,1563,204
DOC_0085,41471291,2025,1799,219
DOC_0086,41471115,2025,1999,249
DOC_0087,41471022,2025,1837,255
DOC_0088,41470192,2025,2273,296
DOC_0089,41470093,2025,2273,313
DOC_0090,41470033,2025,1904,259
DOC_0091,41469898,2025,1240,164
DOC_0092,41469525,2025,1691,215
DOC_0093,41469479,2025,2113,295
DOC_0094,41469385,2025,2056,259
DOC_0095,41468944,2025,1625,216
DOC_0096,41468295,2025,1404,165
DOC_0097,41468253,2025,2137,296
DOC_0098,41467275,2025,389,45
DOC_0099,41466856,2025,2065,268
DOC_0100,41466821,2025,1692,248
DOC_0101,41466578,2025,1910,257
DOC_0102,41465997,2025,1980,266
DOC_0103,41465919,2025,1759,260
DOC_0104,41465552,2025,1769,262
DOC_0105,41465538,2025,2242,314
DOC_0106,41465291,2025,1821,203
DOC_0107,41465233,2025,1757,227
DOC_0108,41465162,2025,1367,190
DOC_0109,41465136,2025,2171,253
DOC_0110,41464777,2025,2444,328
DOC_0111,41464640,2025,2665,363
DOC_0112,41464454,2025,1702,234
DOC_0113,41463039,2025,2077,289
DOC_0114,41462816,2025,2299,330
DOC_0115,41462491,2025,2488,353
DOC_0116,41460299,2025,2271,294
DOC_0117,41459256,2025,1750,256
DOC_0118,41459063,2025,2008,264
DOC_0119,41458755,2025,1073,142
DOC_0120,41458718,2025,969,129
DOC_0121,41458680,2025,1488,186
DOC_0122,41458345,2025,1888,242
DOC_0123,41458195,2025,2416,318
DOC_0124,41456232,2025,1598,225
DOC_0125,41454536,2025,897,128
DOC_0126,41454474,2025,1277,161
DOC_0127,41453833,2025,1376,174
DOC_0128,41453599,2025,1631,221
DOC_0129,41451525,2025,1906,243
DOC_0130,41451206,2025,1556,204
DOC_0131,41450497,2025,2539,337
DOC_0132,41450394,2025,1540,199
DOC_0133,41449306,2025,3215,471
DOC_0134,41448547,2025,1305,163
DOC_0135,41448546,2025,170,23
DOC_0136,41446844,2025,2586,378
DOC_0137,41445854,2025,1901,244
DOC_0138,41445692,2025,1644,229
DOC_0139,41444250,2025,1126,149
DOC_0140,41443943,2025,2391,353
DOC_0141,41443715,2025,1859,280
DOC_0142,41443396,2025,1433,196
DOC_0143,41440542,2025,1508,188
DOC_0144,41440022,2025,1678,212
DOC_0145,41439091,2025,1821,262
DOC_0146,41438680,2025,1427,178
DOC_0147,41438425,2025,1960,280
DOC_0148,41438421,2025,1411,214
DOC_0149,41436466,2025,1517,195
DOC_0150,41436138,2025,1908,270
DOC_0151,41432938,2025,3000,416
DOC_0152,41432882,2025,2393,343
DOC_0153,41432775,2025,1674,247
DOC_0154,41432618,2025,2314,326
DOC_0155,41428888,2025,1803,237
DOC_0156,41428318,2025,1498,207
DOC_0157,41428266,2025,1953,229
DOC_0158,41427120,2025,1838,261
DOC_0159,41426252,2025,1984,275
DOC_0160,41425939,2025,2236,280
DOC_0161,41425574,2025,2043,253
DOC_0162,41425037,2025,1824,243
DOC_0163,41424381,2025,2059,254
DOC_0164,41424122,2025,196,24
DOC_0165,41423287,2025,1052,147
DOC_0166,41421479,2025,1887,265
DOC_0167,41420794,2025,1908,275
DOC_0168,41419940,2025,2446,299
DOC_0169,41419693,2025,1629,216
DOC_0170,41419138,2025,1548,205
DOC_0171,41419137,2025,1415,200
DOC_0172,41419128,2025,142,20
DOC_0173,41417763,2025,1963,241
DOC_0174,41416383,2025,2428,351
DOC_0175,41416237,2025,1953,284
DOC_0176,41416116,2025,2003,259
DOC_0177,41416024,2025,2661,367
DOC_0178,41414680,2025,1625,180
DOC_0179,41413697,2025,1756,258
DOC_0180,41413586,2025,2017,291
DOC_0181,41413255,2025,1284,183
DOC_0182,41413143,2025,1566,219
DOC_0183,41413126,2025,1576,244
DOC_0184,41413005,2025,2093,308
DOC_0185,41413001,2025,1986,264
DOC_0186,41412995,2025,1849,267
DOC_0187,41410839,2025,2793,352
DOC_0188,41410780,2025,1952,260
DOC_0189,41410388,2025,2041,262
DOC_0190,41409901,2025,1909,280
DOC_0191,41409533,2025,1610,220
DOC_0192,41408908,2025,1703,205
DOC_0193,41408482,2025,1940,240
DOC_0194,41408349,2025,2731,379
DOC_0195,41408331,2025,2348,298
DOC_0196,41407432,2025,1800,261
DOC_0197,41406158,2025,2031,252
DOC_0198,41406130,2025,1729,202
DOC_0199,41405997,2025,1269,170
DOC_0200,41405899,2025,2868,448
DOC_0201,41404926,2025,1806,246
DOC_0202,41404493,2025,2646,353
DOC_0203,41403177,2025,1728,260
DOC_0204,41401983,2025,1927,274
DOC_0205,41401112,2025,1957,265
DOC_0206,41400370,2025,1970,264
DOC_0207,41399715,2025,1893,257
DOC_0208,41399323,2025,1698,241
DOC_0209,41399262,2025,1799,257
DOC_0210,41399235,2025,2095,316
DOC_0211,41396872,2025,164,22
DOC_0212,41396481,2025,2209,297
DOC_0213,41396256,2025,1761,228
DOC_0214,41395672,2025,982,131
